char,cj,wubi98,wubi86,sijiao,zhengma,terra,bopomofo,flypy,ms,zrm,sogou,abc,ziguang,moqi_aux,xh_aux,zrm_aux,lvl
伻,人一火十,wguf,wguh,21249,nau|naua,beng1,ㄅㄥ,bg,bg,bg,bg,bg,bt,rp,,rp,
似,人女戈人,wn|wny|wnyw,wny|wnyw,28200,nz|nzo|nzod,shi4|si4,ㄕˋ|ㄙˋ,ui|si,ui|si,ui|si,ui|si,vi|si,ii|si,rr,rr,ry,1.0
伽,人大尸口,wek|wekg,wlk|wlkg,26200,nyj,ga1|jia1|qie2,ㄍㄚ|ㄐㄧㄚ|ㄑㄧㄝˊ,ga|jx|qp,ga|jw|qx,ga|jw|qx,ga|jw|qx,ga|jd|qx,ga|jx|qd,rk,rk,rj,2.0
伾,人一火一|重人一火一,wdhg,wgig,21219,nga,pi1,ㄆㄧ,pi,pi,pi,pi,pi,pi,rp,rp|ra,rp,3.0
伿,人口金,wkw|wkwy,wkwy,26280,njo,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,rv,,rv,
佀,人口中口,wng,whnn,27277,nyvv,si4,ㄙˋ,si,si,si,si,si,si,rl,,rg,
佁,人戈口,wck|wckg,wckg,23260,nzj,yi3|ai3|si4|chi4,ㄧˇ|ㄞˇ|ㄙˋ|ㄔˋ,yi|ai|si|ii,yi|ol|si|ii,yi|ai|si|ii,yi|ol|si|ii,yi|ol|si|ei,yi|op|si|ai,rk,rk,rt,3.0
佂,人一卜一,wgh|wghg,wghg,21211,naii,zheng1,ㄓㄥ,vg,vg,vg,vg,ag,ut,rv,,rv,
佃,人田,wl|wlg,wl|wlg,26200,nki,dian4|tian2,ㄉㄧㄢˋ|ㄊㄧㄢˊ,dm|tm,dm|tm,dm|tm,dm|tm,dw|tw,df|tf,rt,rt,rt,1.0
佄,人廿一,wfg,wafg,24270,neb,han1|gan4,ㄏㄢ|ㄍㄢˋ,hj|gj,hj|gj,hj|gj,hj|gj,hj|gj,hr|gr,rg,,rg,
佅,人十木,wfy,wfiy,25290,nbko,mai4,ㄇㄞˋ,md,ml,ml,ml,ml,mp,rw,,rw,
但,人日一,wj|wjg|wjgg,wjg|wjgg,26210,nka,dan4|tan3|yan4,ㄉㄢˋ|ㄊㄢˇ|ㄧㄢˋ,dj|tj|yj,dj|tj|yj,dj|tj|yj,dj|tj|yj,dj|tj|yj,dr|tr|yr,rd,ra,rd,1.0
佇,人十一弓,wps|wpsh,wpsh,23221,nwai,zhu4,ㄓㄨˋ,vu,vu,vu,vu,au,uu,rd,,rn,
佈,人大中月,wdmh,wdmh,24227,ngli,bu4,ㄅㄨˋ,bu,bu,bu,bu,bu,bu,rj,,rb,
佉,人土戈,wfcy,wfcy,24232,nbzs,qu1|qia1,ㄑㄩ|ㄑㄧㄚ,qu|qx,qu|qw,qu|qw,qu|qw,qu|qd,qu|qx,rq,,rq,
佊,人木竹水,wby,whcy,24247,nxi,bi3,ㄅㄧˇ,bi,bi,bi,bi,bi,bi,rp,,rp,
佋,人尸竹口,wvkg,wvkg,27262,nyj,zhao1|shao2|shao4,ㄓㄠ|ㄕㄠˊ|ㄕㄠˋ,vc|uc,vk|uk,vk|uk,vk|uk,ak|vk,uq|iq,rk,,rv,
佌,人卜一心,whx|whxn,whxn,22210,nirr,ci3,ㄘˇ,ci,ci,ci,ci,ci,ci,rb,,rc,
位,人卜廿,wug,wug,20218,nsu,wei4|li4,ㄨㄟˋ|ㄌㄧˋ,ww|li,wz|li,wz|li,wz|li,wq|li,wk|li,rl,rl,rl,1.0
低,人竹心一|人竹女戈,wq|wqa|wqay,wqa|wqay,22240,nrs,di1,ㄉㄧ,di,di,di,di,di,di,ru,rd,rd,1.0
住,人卜土,wy|wygg,wygg,20214,nsc,zhu4,ㄓㄨˋ,vu,vu,vu,vu,au,uu,rv,rv,rv,1.0
佐,人大一,wda|wdag,wda|wdag,24212,ngb|ngbi,zuo3,ㄗㄨㄛˇ,zo,zo,zo,zo,zo,zo,rg,rg,rz,1.0
佑,人大口|重人大口,wdk|wdkg,wdk|wdkg,24260,ngj,you4,ㄧㄡˋ,yz,yb,yb,yb,yb,yz,rk,rk,ry,1.0
佒,人中月大,wmdy,wmdy,25280,nlgd,yang3|yang1,ㄧㄤˇ|ㄧㄤ,yh,yh,yh,yh,yh,ys,ry,,ry,
体,人木一,wsg|wsgg,wsg|wsgg,25230,nfa,ti3|ti1|ben4|cui4,ㄊㄧˇ|ㄊㄧ|ㄅㄣˋ|ㄘㄨㄟˋ,ti|bf|cv,ti|bf|cv,ti|bf|cv,ti|bf|cv,ti|bf|cm,ti|bw|cn,rb,rb,rb,1.0
佔,人卜口,whk|whkg,whkg,21260,nij,zhan4|chan1|dian1,ㄓㄢˋ|ㄔㄢ|ㄉㄧㄢ,vj|ij|dm,vj|ij|dm,vj|ij|dm,vj|ij|dm,aj|ej|dw,ur|ar|df,rv,,rv,
何,人一弓口,ws|wsk|wskg,wsk|wskg,21220,naj,he2|he4,ㄏㄜˊ|ㄏㄜˋ,he,he,he,he,he,he,rk,rk,rk,1.0
佖,人心竹,wntt,wntt,23204,nwm,bi4,ㄅㄧˋ,bi,bi,bi,bi,bi,bi,rb,rb,rb,3.0
佗,人十心,wpx|wpxn,wpx|wpxn,23212,nwrr,tuo2|tuo1|tuo4|yi2,ㄊㄨㄛˊ|ㄊㄨㄛ|ㄊㄨㄛˋ|ㄧˊ,to|yi,to|yi,to|yi,to|yi,to|yi,to|yi,rb,rb,rt,2.0
佘,人一一火,wfiu,wfiu,80901,obk|odbk,she2,ㄕㄜˊ,ue,ue,ue,ue,ve,ie,ru,rx,ru,2.0
余,人一木,wgs|wgsu,wtu,80904,odmf|omf,yu2|tu2|xu2|yu4,ㄩˊ|ㄊㄨˊ|ㄒㄩˊ|ㄩˋ,yu|tu|xu,yu|tu|xu,yu|tu|xu,yu|tu|xu,yu|tu|xu,yu|tu|xu,rm,rh,rb|rd|rh,1.0
佚,人竹手人,wtgy,wrw|wrwy,25280,nmo|nmod,yi4|die2,ㄧˋ|ㄉㄧㄝˊ,yi|dp,yi|dx,yi|dx,yi|dx,yi|dx,yi|dd,rf,ru,ru,2.0
佛,人中中弓,wxj|wxjh,wxj|wxjh,25227,nyn|nynd,fu2|fo2|bo2|bi4,ㄈㄨˊ|ㄈㄛˊ|ㄅㄛˊ|ㄅㄧˋ,fu|fo|bo|bi,fu|fo|bo|bi,fu|fo|bo|bi,fu|fo|bo|bi,fu|fo|bo|bi,fu|fo|bo|bi,rf,rf,rf,1.0
作,人人尸,wt|wthf,wt|wthf,28211,nmi|nmid,zuo4|zuo1|zuo2,ㄗㄨㄛˋ|ㄗㄨㄛ|ㄗㄨㄛˊ,zo,zo,zo,zo,zo,zo,rv,rv,rv,1.0
佝,人心口,wqkg,wqk|wqkg,27220,nrj,gou1|kou4|ju1,ㄍㄡ|ㄎㄡˋ|ㄐㄩ,gz|kz|ju,gb|kb|ju,gb|kb|ju,gb|kb|ju,gb|kb|ju,gz|kz|ju,rj,rk,rj,2.0
佞,人一一女,wfv|wfvg,wfv|wfvg,21244,nbz|nbzm,ning4,ㄋㄧㄥˋ,nk,n;,ny,n;,ny,n;,rn,rn,rn,2.0
佟,人竹水一|人竹水卜,wtu|wtuy,wtuy,27233,nrt|nrtd,tong2,ㄊㄨㄥˊ,ts,ts,ts,ts,ts,th,rd,rd,rd,2.0
你,人弓火,wq|wqiy,wq|wqi|wqiy,27292,n|nr|nrk|nrko,ni3,ㄋㄧˇ,ni,ni,ni,ni,ni,ni,rx,rx,re,1.0
佡,人人山,wwm|wwmh,wwmh,28272,noll,xian1,ㄒㄧㄢ,xm,xm,xm,xm,xw,xf,ru,,ru,
佢,人尸尸,wan|wang,wang,21217,nhx,qu2,ㄑㄩˊ,qu,qu,qu,qu,qu,qu,rj,rj,rj,
佣,人月手,we|weh,weh,27220,nld|nlv,yong1|yong4,ㄩㄥ|ㄩㄥˋ,ys,ys,ys,ys,ys,yh,ry,ry,ry,1.0
佤,人一女弓,wgny,wgn|wgnn,21217,nas|nay|nays|naz,wa3,ㄨㄚˇ,wa,wa,wa,wa,wa,wa,rw,rw,rw,2.0
佥,人一火一,wgig,wgif,80109,obv|odbv,qian1,ㄑㄧㄢ,qm,qm,qm,qm,qw,qf,ra,ra,ra,2.0
佦,人一口|重人一口,wdg,wdg,21262,ngvv,shi5,ㄕ˙,ui,ui,ui,ui,vi,ii,ru,,ru,
佧,人卜一卜,whh|whhy,whh|whhy,21231,niai|nii,ka3,ㄎㄚˇ,ka,ka,ka,ka,ka,ka,rb,rb,rk,
佨,人心口山|人心尸山,wqn|wqnn,wqnn,27212,nry,bao1,ㄅㄠ,bc,bk,bk,bk,bk,bq,rb,,rb,
佩,人竹弓月,wwgh,wmg|wmgh,27210,nqa|nqal|nql,pei4,ㄆㄟˋ,pw,pz,pz,pz,pq,pk,rj,rj,rb|rj,1.0
佪,人田口,wlk|wlkg,wlkg,26200,njj,hui2|huai2,ㄏㄨㄟˊ|ㄏㄨㄞˊ,hv|hk,hv|hy,hv|hy,hv|hy,hm|hc,hn|hy,rk,,rh,
佫,人竹水口,wtk|wtkg,wtkg,27264,nrj,he4|ge2,ㄏㄜˋ|ㄍㄜˊ,he|ge,he|ge,he|ge,he|ge,he|ge,he|ge,rk,,rg,
佬,人十大心,wft|wftx,wft|wftx,24212,nbr|nbrr,lao3|liao2,ㄌㄠˇ|ㄌㄧㄠˊ,lc|ln,lk|lc,lk|lc,lk|lc,lk|lz,lq|lb,rl,rb,rl,2.0
佭,人竹水手,wtgh,wtah,27254,nrm|nrmb,xiang2,ㄒㄧㄤˊ,xl,xd,xd,xd,xt,xg,rf,,rj,
佮,人人一口,wwgk,wwgk,28261,noaj,ge2|e2,ㄍㄜˊ|ㄜˊ,ge|ee,ge|oe,ge|ee,ge|oe,ge|oe,ge|oe,rk,,rh,
佯,人廿手,wuh,wudh,28251,nuc,yang2,ㄧㄤˊ,yh,yh,yh,yh,yh,ys,ry,ry,ry,2.0
佰,人一日,wdj|wdjg,wdj|wdjg,21262,nank,bai3|mo4,ㄅㄞˇ|ㄇㄛˋ,bd|mo,bl|mo,bl|mo,bl|mo,bl|mo,bp|mo,rb,rb,rb,2.0
佱,人一一一|重人一一一,wfhf,wfhf,80101,odbi,fa3,ㄈㄚˇ,fa,fa,fa,fa,fa,fa,rv,,rv,
佲,人弓戈口,wqkg,wqkg,27262,nrj,ming3,ㄇㄧㄥˇ,mk,m;,my,m;,my,m;,rk,,rm,
佳,人土土,wff|wffg,wffg,24214,nbb,jia1,ㄐㄧㄚ,jx,jw,jw,jw,jd,jx,rt,rt,rg,1.0
佴,人尸十,wbg,wbg,21240,nce,er4|nai4,ㄦˋ|ㄋㄞˋ,er|nd,or|nl,er|nl,or|nl,or|nl,oj|np,re,re,re,3.0
併,人廿廿,wuah,wuah,28241,nue,bing4,ㄅㄧㄥˋ,bk,b;,by,b;,by,b;,rk,,rb,
佶,人土口|重人土口,wfkg,wfkg,24261,nbj,ji2,ㄐㄧˊ,ji,ji,ji,ji,ji,ji,rk,rk,rj,2.0
佷,人日女,wvy,wvey,27232,nxo,hen3|heng2,ㄏㄣˇ|ㄏㄥˊ,hf|hg,hf|hg,hf|hg,hf|hg,hf|hg,hw|ht,rg,,rg,
佸,人竹十口,wtdg,wtdg,22264,nmi,huo2,ㄏㄨㄛˊ,ho,ho,ho,ho,ho,ho,ru,rk,ru,3.0
佹,人弓一山,wqdb,wqdb,27212,nrgy,gui3|gui1,ㄍㄨㄟˇ|ㄍㄨㄟ,gv,gv,gv,gv,gm,gn,rv,,rw,
佺,人人一土,wwgg,wwgg,28214,noc,quan2,ㄑㄩㄢˊ,qr,qr,qr,qr,qp,ql,rw,rw,rq,3.0
佻,人中一人,wqiy,wiq|wiqn,22213,nvr|nvrd,tiao1|tiao2|tiao4|diao3|yao2|dao4|zhao4,ㄊㄧㄠ|ㄊㄧㄠˊ|ㄊㄧㄠˋ|ㄉㄧㄠˇ|ㄧㄠˊ|ㄉㄠˋ|ㄓㄠˋ,tn|dn|yc|dc|vc,tc|dc|yk|dk|vk,tc|dc|yk|dk|vk,tc|dc|yk|dk|vk,tz|dz|yk|dk|ak,tb|db|yq|dq|uq,rv,rd,rv,2.0
佼,人卜金大,wur|wury,wuq|wuqy,20248,nsoo,jiao3|jiao1|xiao2,ㄐㄧㄠˇ|ㄐㄧㄠ|ㄒㄧㄠˊ,jn|xn,jc|xc,jc|xc,jc|xc,jz|xz,jb|xb,rf,rx,rj,2.0
佽,人戈一人|人一一人,wuq|wuqw,wuqw,27282,ntro,ci4,ㄘˋ,ci,ci,ci,ci,ci,ci,rq,rr,rc,3.0
佾,人金月,wweg,wwe|wweg,28227,noq,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,ro,ro,ro,2.0
使,人十中大,wgk|wgkr,wgkq,25206,na|najo,shi3,ㄕˇ,ui,ui,ui,ui,vi,ii,rl,rl,rl,1.0
侀,人一廿弓,wgaj,wgaj,22200,naek,xing2,ㄒㄧㄥˊ,xk,x;,xy,x;,xy,x;,rd,,rx,
侁,人竹土山,wtfq,wtfq,24212,nmr|nmrd,shen1,ㄕㄣ,uf,uf,uf,uf,vf,iw,re,re,rx,3.0
侂,人戈竹心,wot|wota,wyta,20214,ntm|ntmh,tuo1,ㄊㄨㄛ,to,to,to,to,to,to,rq,rq,rq|rt,3.0
侃,人口竹山|人口竹女,wkkn,wkq|wkqn,26212,njn|njnd,kan3,ㄎㄢˇ,kj,kj,kj,kj,kj,kr,ri,rv,ri,2.0
侄,人一戈土,wgcf,wgcf,21214,nhb,zhi2,ㄓˊ,vi,vi,vi,vi,ai,ui,rt,rt,rv,1.0
侅,人卜女人,wynw,wynw,20282,nszo,gai1|hai4,ㄍㄞ|ㄏㄞˋ,gd|hd,gl|hl,gl|hl,gl|hl,gl|hl,gp|hp,rr,,rh,
來,木人人,swwi,swwi,40908,foo|food,lai2|lai4,ㄌㄞˊ|ㄌㄞˋ,ld,ll,ll,ll,ll,lp,ur,,ad|mc|mr,
侇,人大弓|重人大弓,wgxw,wgxw,25282,ngyz,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,ry,,ry,
侈,人弓戈弓,wqq|wqqy,wqq|wqqy,27227,nrrs|nrv,chi3,ㄔˇ,ii,ii,ii,ii,ei,ai,rx,rx,rd,1.0
侉,人大一尸,wdf|wdfn,wdf|wdfn,24227,ngbz|ngz,kua3|hua2|e4|wu2,ㄎㄨㄚˇ|ㄏㄨㄚˊ|ㄜˋ|ㄨˊ,kx|hx|ee|wu,kw|hw|oe|wu,kw|hw|ee|wu,kw|hw|oe|wu,kd|hd|oe|wu,kx|hx|oe|wu,rk,rk,rk,2.0
侊,人火一山,wig|wigq,wiqn,29212,nkgr,guang1,ㄍㄨㄤ,gl,gd,gd,gd,gt,gg,rg,,rg,
例,人一弓弓,wgq|wgqj,wgq|wgqj,22200,nak|nar|nark,li4|lie4,ㄌㄧˋ|ㄌㄧㄝˋ,li|lp,li|lx,li|lx,li|lx,li|lx,li|ld,rd,rd,rl,1.0
侌,人戈弓戈|重人戈弓戈,wync,wync,80732,odbz,yin1,ㄧㄣ,yb,yn,yn,yn,yc,yy,ry,,jy,
侍,人土木戈,wffy,wff|wffy,24241,nbds,shi4,ㄕˋ,ui,ui,ui,ui,vi,ii,rc,rc,rs,1.0
侎,人火木|重人火木,woy,woy,29294,nuf,mi3,ㄇㄧˇ,mi,mi,mi,mi,mi,mi,rm,,rm,
侏,人竹十木,wtfy,wri|wriy,25290,nmko,zhu1|zhou1,ㄓㄨ|ㄓㄡ,vu|vz,vu|vb,vu|vb,vu|vb,au|ab,uu|uz,rw,rv,rv,2.0
侐,人竹月廿,wtlg,wtlg,27212,nmlk,xu4,ㄒㄩˋ,xu,xu,xu,xu,xu,xu,rm,,rx,
侑,人大月,wde|wdeg,wde|wdeg,24227,ngq,you4,ㄧㄡˋ,yz,yb,yb,yb,yb,yz,ro,ro,ry,2.0
侒,人十女,wpv|wpvg,wpvg,23244,nwzm,an1|an3,ㄢ|ㄢˇ,an,oj,an,oj,oj,or,rn,,ra,
侓,人中手,wvgh,wvfh,25207,nxbd,lu4,ㄌㄨˋ,lu,lu,lu,lu,lu,lu,ry,,ry,
侔,人戈竹手,wctg,wcr|wcrh,23250,nzmb,mou2|mao2,ㄇㄡˊ|ㄇㄠˊ,mz|mc,mb|mk,mb|mk,mb|mk,mb|mk,mz|mq,rn,rn,rm|rn,2.0
侕,人一月中,wdmj,wdmj,21227,ngl,er2,ㄦˊ,er,or,er,or,or,oj,re,,re,
侖,人一月廿,wgma,wgma,80227,odal,lun2|lun4,ㄌㄨㄣˊ|ㄌㄨㄣˋ,ly,lp,lp,lp,ln,lm,rc,,rc,
侗,人月一口,wmg|wmgk,wmgk,27220,nld,dong4|tong1|tong2|tong3,ㄉㄨㄥˋ|ㄊㄨㄥ|ㄊㄨㄥˊ|ㄊㄨㄥˇ,ds|ts,ds|ts,ds|ts,ds|ts,ds|ts,dh|th,rk,rk,rt,2.0
侘,人十竹心,wpt|wpta,wpta,23214,nwmh,cha4,ㄔㄚˋ,ia,ia,ia,ia,ea,aa,rq,rq,rv,3.0
侙,人戈心一,waay,waag,23240,nhbi,chi1,ㄔ,ii,ii,ii,ii,ei,ai,rg,,ru,
侚,人心日,wqj|wqjg,wqjg,27220,nrk,xun4|xun2,ㄒㄩㄣˋ|ㄒㄩㄣˊ,xy,xp,xp,xp,xn,xm,ro,,rx,
供,人廿金,waw|wawy,waw|wawy,24281,neo,gong1|gong4,ㄍㄨㄥ|ㄍㄨㄥˋ,gs,gs,gs,gs,gs,gh,rg,rb,rg,1.0
侜,人竹月卜,wtuy,wtey,27240,npy,zhou1,ㄓㄡ,vz,vb,vb,vb,ab,uz,rv,,rv,
依,人卜竹女,wye|wyey,wye|wyey,20232,nsr|nsrh,yi1|yi3,ㄧ|ㄧˇ,yi,yi,yi,yi,yi,yi,ry,ry,ry,1.0
侞,人女口,wvkg,wvkg,26200,nzj,ru2,ㄖㄨˊ,ru,ru,ru,ru,ru,ru,rk,,rr,
侟,人大中木,wdh|wdhb,wdhb,24247,ngiy,cun2|jian4,ㄘㄨㄣˊ|ㄐㄧㄢˋ,cy|jm,cp|jm,cp|jm,cp|jm,cn|jw,cm|jf,rz,,rc,
侠,人大廿,wgu|wgud,wgu|wguw,25280,nbu|nbuo,xia2,ㄒㄧㄚˊ,xx,xw,xw,xw,xd,xx,rj,rj,rj,1.0
価,人一中田,wsg,wsg,21260,nfj,si4,ㄙˋ,si,si,si,si,si,si,rx,,rx,
侢,人一土月,wgmf,wgmf,21247,nalb,dai4,ㄉㄞˋ,dd,dl,dl,dl,dl,dp,rr,,rz,
侣,人口口,wkk|wkkg,wkk|wkkg,26260,njj,lv3,ㄌㄩˇ,lv,ly,lv,ly,lv,lv,rk,rk,rl,1.0
侤,人十大尸,wftn,wftn,24227,nbaz,ta5,ㄊㄚ˙,ta,ta,ta,ta,ta,ta,rk,,rk,
侥,人十心山,wat|watq,watq,25212,nhg|nhgr,jiao3|yao2,ㄐㄧㄠˇ|ㄧㄠˊ,jn|yc,jc|yk,jc|yk,jc|yk,jz|yk,jb|yq,rw,rw,ry,1.0
侦,人卜月人,whm|whmy,whm|whmy,21282,nil|nilo,zhen1,ㄓㄣ,vf,vf,vf,vf,af,uw,rb,rr,rv,1.0
侧,人月人弓,wm|wmj|wmjh,wmj|wmjh,22200,nlk|nlkd,ce4|ze4|zhai1,ㄘㄜˋ|ㄗㄜˋ|ㄓㄞ,ce|ze|vd,ce|ze|vl,ce|ze|vl,ce|ze|vl,ce|ze|al,ce|ze|up,rd,rd,rz,1.0
侨,人竹大中,wtd|wtdj,wtd|wtdj,22228,nmg|nmgn|nmn,qiao2,ㄑㄧㄠˊ,qn,qc,qc,qc,qz,qb,rl,rl,rq,1.0
侩,人人一戈,wwfc,wwfc,28232,nobz|noz,kuai4,ㄎㄨㄞˋ,kk,ky,ky,ky,kc,ky,ry,rs,rh,2.0
侪,人卜大中,wyj|wyjh,wyj|wyjh,20224,nsn|nsnd,chai2,ㄔㄞˊ,id,il,il,il,el,ap,rq,rl,rq,2.0
侫,人卜女女,wynv,wynv,20244,nszm,ning4,ㄋㄧㄥˋ,nk,n;,ny,n;,ny,n;,rn,,rw,
侬,人竹月女,wp|wpe|wpey,wpe|wpey,24232,nwr|nwrh,nong2,ㄋㄨㄥˊ,ns,ns,ns,ns,ns,nh,ry,rn,rn,2.0
侭,人尸人卜,wnyu,wnyu,27233,nxst,jin3,ㄐㄧㄣˇ,jb,jn,jn,jn,jc,jy,rd,,rj,
侮,人人田十|人人田卜,wtx|wtxy,wtx|wtxu,28257,nmz|nmzy,wu3,ㄨˇ,wu,wu,wu,wu,wu,wu,rm,rm,rm,1.0
侯,人弓一大,wnt|wntd,wnt|wntd,27284,nxm|nxma,hou2|hou4,ㄏㄡˊ|ㄏㄡˋ,hz,hb,hb,hb,hb,hz,ru,ru,ru,1.0
侰,人尸大口,wvtk,wvtk,27267,nxj,jiong3,ㄐㄩㄥˇ,js,js,js,js,js,jh,rk,,rj,
侱,人口竹土|人口一土,wkgg,wkgg,26214,njc,cheng3|ting3,ㄔㄥˇ|ㄊㄧㄥˇ,ig|tk,ig|t;,ig|ty,ig|t;,eg|ty,at|t;,rw,,ri,
侲,人一一女|重人一一女,wdfe,wdfe,21232,ngh,zhen4|zhen1|chen1,ㄓㄣˋ|ㄓㄣ|ㄔㄣ,vf|if,vf|if,vf|if,vf|if,af|ef,uw|aw,ri,,ri,
侳,人人人土,wwwf,wwwf,28214,noob,zuo4,ㄗㄨㄛˋ,zo,zo,zo,zo,zo,zo,rr,,rz,
侴,人一弓弓|重人一弓弓,wgnj,wgnj,80120,odek,chou3,ㄔㄡˇ,iz,ib,ib,ib,eb,az,rd,rd,rd,3.0
侵,人尸一水,wvp|wvpc,wvp|wvpc,27247,nxw|nxwx|nxx,qin1|qin3,ㄑㄧㄣ|ㄑㄧㄣˇ,qb,qn,qn,qn,qc,qy,ry,ry,ry,1.0
侶,人口竹口,wktk,wktk,26262,njnj,lv3,ㄌㄩˇ,lv,ly,lv,ly,lv,lv,rk,,rl,
侷,人尸尸口,wnnk,wnnk,27227,nxyj,ju2,ㄐㄩˊ,ju,ju,ju,ju,ju,ju,rk,,rj,
侸,人一口廿,wgku,wgku,21218,naju,shu4|dou1,ㄕㄨˋ|ㄉㄡ,uu|dz,uu|db,uu|db,uu|db,vu|db,iu|dz,rb,,rd,
侹,人弓大土,wtfp,wtfp,22241,nymb,ting3,ㄊㄧㄥˇ,tk,t;,ty,t;,ty,t;,rw,rz,rt,3.0
侺,人山人弓,wmwn,wmwn,22227,nlsx,shen4,ㄕㄣˋ,uf,uf,uf,uf,vf,iw,rv,,rc,
侻,人金口山,wukq,wukq,28212,nujr,tui4|tuo1,ㄊㄨㄟˋ|ㄊㄨㄛ,tv|to,tv|to,tv|to,tv|to,tm|to,tn|to,rx,,rd,
侼,人十月木,wfp|wfpb,wfpb,24247,newy,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,rz,,rb|rz,
侽,人田大尸,wle|wlet,wlln,26227,nkym,nan2,ㄋㄢˊ,nj,nj,nj,nj,nj,nr,rl,,rn,
侾,人十大木,wftb,wftb,24247,nbya,xiao1,ㄒㄧㄠ,xn,xc,xc,xc,xz,xb,rz,,rx,
便,人一中大,wgj|wgjr,wgj|wgjq,21246,nak|nako,bian4|pian2|bian1,ㄅㄧㄢˋ|ㄆㄧㄢˊ|ㄅㄧㄢ,bm|pm,bm|pm,bm|pm,bm|pm,bw|pw,bf|pf,rg,rg,rg,1.0
俀,人月女,wev|wevg,wevg,22244,npzm,tui3,ㄊㄨㄟˇ,tv,tv,tv,tv,tm,tn,rn,,rt,
俁,人口女大,wkn|wknd,wknd,26284,njz|njzg,yu3,ㄩˇ,yu,yu,yu,yu,yu,yu,rt,,rw,
係,人竹女火,wtxi,wtxi,22293,nmz,xi4,ㄒㄧˋ,xi,xi,xi,xi,xi,xi,rx,rx,rx,
促,人口卜人,wkh|wkhy,wkh|wkhy,26281,nji,cu4|chuo4,ㄘㄨˋ|ㄔㄨㄛˋ,cu|io,cu|io,cu|io,cu|io,cu|eo,cu|ao,rz,rr,rz,1.0
俄,人竹手戈,wtr|wtry,wtr|wtrt,23250,nmh|nmhm|nmv,e2,ㄜˊ,ee,oe,ee,oe,oe,oe,rw,rw,rw,1.0
俅,人戈十水,wgiy,wfiy,23299,ndv|ndvs,qiu2,ㄑㄧㄡˊ,qq,qq,qq,qq,qr,qj,rq,rq,rq,2.0
俆,人人一木,wwgs,wwty,28294,nomf,xu2|shu1,ㄒㄩˊ|ㄕㄨ,xu|uu,xu|uu,xu|uu,xu|uu,xu|vu,xu|iu,rm,,ry,
俇,人大竹土,wqt|wqtg,wqtg,21214,nqc,guang4,ㄍㄨㄤˋ,gl,gd,gd,gd,gt,gg,rw,,rk,
俈,人竹土口|人竹手口,wtfk,wtfk,24261,nmj,ku4,ㄎㄨˋ,ku,ku,ku,ku,ku,ku,rk,,rg,
俉,人一一口,wgkg,wgkg,21261,nbxj,wu3|wu2,ㄨˇ|ㄨˊ,wu,wu,wu,wu,wu,wu,rk,,rw,
俊,人戈金水,wcw|wcwt,wcw|wcwt,23247,nzo|nzor|nzr,jun4|shun4|dun1,ㄐㄩㄣˋ|ㄕㄨㄣˋ|ㄉㄨㄣ,jy|uy|dy,jp|up|dp,jp|up|dp,jp|up|dp,jn|vn|dn,jm|im|dm,rw,rw,rj|rw,1.0
俋,人口日山,wkc|wkcn,wkcn,26217,njyi,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,rb,,rb|ry,
俌,人戈十月,wsy,wgey,23227,nfb,fu3,ㄈㄨˇ,fu,fu,fu,fu,fu,fu,rf,,rf,
俍,人戈日女|重人戈日女,wyvy,wyve,23232,nsxo,liang2|lang3,ㄌㄧㄤˊ|ㄌㄤˇ,ll|lh,ld|lh,ld|lh,ld|lh,lt|lh,lg|ls,rl,rl,rl,3.0
俎,人人月一,wwe|wweg,wweg,87812,odol|ool,zu3,ㄗㄨˇ,zu,zu,zu,zu,zu,zu,rq,rq,qr|rq,2.0
俏,人火月,wi|wie|wieg,wie|wieg,29227,nkq,qiao4|xiao4|xiao1,ㄑㄧㄠˋ|ㄒㄧㄠˋ|ㄒㄧㄠ,qn|xn,qc|xc,qc|xc,qc|xc,qz|xz,qb|xb,ro,ro,rx,1.0
俐,人竹木弓,wtj|wtjh,wtj|wtjh,22200,nmk|nmkd,li4,ㄌㄧˋ,li,li,li,li,li,li,rd,rd,rl,1.0
俑,人弓戈月,wce|wceh,wce|wceh,27227,nxl|nxld,yong3,ㄩㄥˇ,ys,ys,ys,ys,ys,yh,ry,ry,ry,2.0
俒,人十一山,wpfq,wpfq,23212,nwbr,hun4,ㄏㄨㄣˋ,hy,hp,hp,hp,hn,hm,ry,,rw,
俓,人一女一,wgv|wgva,wgva,21212,nhbi,jing4|ying2,ㄐㄧㄥˋ|ㄧㄥˊ,jk|yk,j;|y;,jy|yy,j;|y;,jy|yy,j;|y;,rg,,rg|rj,
俔,人月山山,whqn,whqn,26212,nlr,qian4|xian4,ㄑㄧㄢˋ|ㄒㄧㄢˋ,qm|xm,qm|xm,qm|xm,qm|xm,qw|xw,qf|xf,rj,,rj,
俕,人十木|重人十木,wpsy,wpsy,23294,nwf,san4,ㄙㄢˋ,sj,sj,sj,sj,sj,sr,rm,,rs,
俖,人一火口,wdhk,wgik,21269,ngj,pei3,ㄆㄟˇ,pw,pz,pz,pz,pq,pk,rk,,rf,
